title,sub_title,part,num_title,mformat_id,threed_id,mlanguage_id,msubtitle_id,own
13 Ghosts,,,,2,,1,3,0
2012,,,,2,,1,3,1
30 Days of Night,,,,2,,1,3,1
Adjustment Bureau,,,,2,,1,3,1
Alien,,,1,2,,1,3,1
Alien,3,,3,2,,1,3,1
Alien,Resurrection,,4,2,,1,3,1
Aliens,,,2,2,,1,3,1
Amazing Spiderman,,,1,2,2,2,2,1
Amazing Spiderman,,,2,2,2,2,2,0
American Hunting,,,,2,,1,3,0
American Pie,,,1,2,,1,3,1
American Pie,2,,2,2,,1,3,1
American Pie,Wedding,,3,2,,1,3,1
American Pie,Reunion,,4,2,,1,3,1
Amytiville,,,,2,,1,3,0
As Good As It Gets,,,,3,,1,2,1
Avatar,,,,2,2,1,3,1
Avengers,Assemble,,1,2,2,1,3,1
Avengers,Age of Ultron,,2,2,2,1,3,0
Back to the Future,,,1,2,,2,2,1
Back to the Future,,,2,2,,2,2,1
Back to the Future,,,3,2,,2,2,1
Banaras,,,,3,,2,2,1
Batman,Batman Begins,,1,2,,1,3,0
Batman,Dark Knight  The,,2,2,,1,3,0
Batman,Dark Knight Rises  The,,3,2,,1,3,0
Blisko Siebie,,,,3,,2,2,1
Blue Smoke,,,,3,,2,2,1
Bolt,,,,2,2,2,2,1
Bond,Casino Royale,,,2,,1,2,1
Book of Eli  The,,,,2,,1,3,1
Bourne,Identity,,1,2,,1,3,1
Bourne,Supremacy,,2,2,,1,3,1
Bourne,Ultimatum,,3,2,,1,3,1
Bourne,Legacy,,4,2,,1,3,1
Cabin in the Woods,,,,2,,1,3,0
Captain America,Winter Soldier,,2,2,,1,3,0
Captain America,,,1,2,2,1,3,0
Carrie,,,,2,,1,3,0
Christmas Carol,,,,2,2,1,3,1
CJ7,,,,2,,1,3,1
CJ7,,,,3,,2,2,1
Cloudy With a Chance of Meatballs,,,1,2,2,2,2,1
Cloudy With a Chance of Meatballs,,,2,2,2,2,2,0
Conjuring,,,,2,,2,2,1
Constantine,,,,2,,1,3,1
Core,,,,3,,1,2,1
Daredevil,,,,3,,1,3,1
Darjeeling Limited,,,,2,,1,3,1
Dark Water,,,,2,,1,3,0
Day After Tomorrow  The,,,,2,,1,3,1
Day the Earth Stood Still  The,,,,2,,1,3,1
Daybrakers,,,,2,,1,3,1
Daywatch,,,,2,,1,3,1
